ein,founding_year,ruling_date,name,city,state,zip,subsection,foundation_code,ntee_code,asset_amount,income_amount,revenue_amount,found_in_bmf
264219405,2015,201508,SOPRIS SUN INC,CARBONDALE,CO,81623-2059,03,16,A33,199167,882532,882532,Y
264219652,2009,200907,REALITIES FOR CHILDREN CHARITIES,FORT COLLINS,CO,80525-9303,03,15,T31,5989607,2969689,2618444,Y
264224007,2009,200903,WOMEN TO WOMEN,GREELEY,CO,80633-0617,03,15,P20,456367,139220,130423,Y
264226613,2019,201906,PANETIERE PARTNERS,CRESTED BUTTE,CO,81224-3442,03,15,Q33,24197,128412,128412,Y
264235797,2011,201103,BOULDER CENTER FOR THE PERFORMING ARTS INC,BOULDER,CO,80302-6011,03,15,A61,0,0,0,Y
264244329,2009,200907,SHELTER-ME PHOTOGRAPHY,PAGOSA SPGS,CO,81147-8765,03,15,M20,0,0,0,Y
264254574,,,,,,,,,,,,,N
264282320,,,,,,,,,,,,,N
264297819,2009,200907,SANGRE DE CRISTO VOLUNTEERS FOR COMMUNITY INC,COLORADO CITY,CO,81019-0402,03,15,S20,599429,41830,37250,Y
264311516,,,,,,,,,,,,,N
264323076,2009,200910,THE ROCKY MOUNTAIN ENVIRONMENTAL GOLF INSTITUTE INC,WESTMINSTER,CO,80234-2052,03,16,N056,0,0,0,Y
264350374,2010,201007,NATIONAL UTILITY CONTRACTORS ASSOCIATION INC,BROOMFIELD,CO,80020-5606,06,00,S034,197217,463196,374095,Y
264364084,2009,200911,COLORADO TITANS BASKETBALL CLUB,ERIE,CO,80516-6811,03,15,N62,30903,949581,949581,Y
264365733,,,,,,,,,,,,,N
264375901,,,,,,,,,,,,,N
264384261,2009,200911,LAUREN PROJECT,WINDSOR,CO,80550-0664,03,15,Q33,0,0,0,Y
264386638,2009,200912,JEFFERSON COUNTY SHERIFFS EMPLOYEE ASSISTANCE FUND INC,GOLDEN,CO,80401-6008,03,15,P40,396545,102466,52852,Y
264399242,,,,,,,,,,,,,N
264401810,2009,200905,TRINIDADDIO BLUES FEST,TRINIDAD,CO,81082-1638,03,15,A60,0,0,0,Y
264403612,,,,,,,,,,,,,N
264420115,2009,200912,COREVERITAS,FORT COLLINS,CO,80526-6656,03,15,J21,0,0,0,Y
264431001,2009,200912,GLOBAL DOWN SYNDROME FOUNDATION,DENVER,CO,80206-5203,03,15,E12,8646012,4313796,4313796,Y
264432872,,,,,,,,,,,,,N
264433534,2009,200912,ABOUTASIASCHOOLS INC,DENVER,CO,80220-4449,03,15,B99,8420,0,0,Y
264434891,2009,200905,LIFEART DANCE ENSEMBLE,COMMERCE CITY,CO,80022-0674,03,15,A62,42003,66077,66077,Y
264463057,2014,201407,SLVREC ENERGY FOUNDATION INC,MONTE VISTA,CO,81144-3625,03,15,T30,123886,67806,67806,Y
264469232,,,,,,,,,,,,,N
264472879,,,,,,,,,,,,,N
264484349,2022,202205,DOOR OF HOPE ETHIO MINISTRY FOR THE BLIND,AURORA,CO,80016-5954,03,04,P50,12944,1,,Y
264494253,,,,,,,,,,,,,N
264518667,,,,,,,,,,,,,N
264522288,,,,,,,,,,,,,N
264533933,2010,201007,LAVENDER ASSOCIATION OF WESTERN COLORADO,PALISADE,CO,81526-0582,06,00,S41,46781,56217,55492,Y
264538225,2014,201406,ATHLETICS & BEYOND,DENVER,CO,80239-2736,03,15,N99,702664,758242,752525,Y
264557456,2019,201903,HIS SCHOOL OF DANCE,PUEBLO,CO,81005-1656,03,16,A62,0,0,0,Y
264562860,2012,201204,HOPE COMMUNITY CHRISTIAN ACADEMY,IGNACIO,CO,81137-5094,03,11,B24,592971,954246,896631,Y
264591276,,,,,,,,,,,,,N
264596112,,,,,,,,,,,,,N
264599901,,,,,,,,,,,,,N
264600743,,,,,,,,,,,,,N
264605574,2018,201807,CHAFFEE COUNTY COMMUNITY FOUNDATION,BUENA VISTA,CO,81211-0492,03,16,T31,2434360,2353952,2353952,Y
264611931,,,,,,,,,,,,,N
264629200,,,,,,,,,,,,,N
264630183,2009,200906,RANGEVIEW LIBRARY FRIENDS FOUNDATION INC,THORNTON,CO,80602-8054,03,15,B70,1,23144,23144,Y
264630502,2017,201710,JETS LACROSSE CLUB INC,DENVER,CO,80205-4463,03,16,N70,38482,73500,73500,Y
264641235,,,,,,,,,,,,,N
264664955,2010,201003,GOALS,EVERGREEN,CO,80439-7820,03,16,C60,250297,746774,746774,Y
264678835,2009,200906,DOLLS FOR DAUGHTERS AND KENZIS KIDZ,AURORA,CO,80014-4536,03,15,P20,352735,1264929,1039849,Y
264698552,2009,200906,ROCKY MOUNTAIN RETT ASSOCIATION,MORRISON,CO,80465-5294,03,15,G80,807873,741365,367091,Y
264704386,2009,200906,STEP SEVEN INC,PARKER,CO,80134-1430,03,15,F50,29581,521341,521341,Y
264705579,2011,201104,NUESTRA SENORA DE LA PAZ,DIVIDE,CO,80814-1029,03,04,X20,157848,695072,,Y
264713475,2009,200906,LITERACY OUTREACH,GLENWOOD SPGS,CO,81601-3823,03,15,B90,617964,170721,163474,Y
264716777,2018,201803,FAMILY ROCS,COLORADO SPGS,CO,80960-1719,03,16,P20,1798,18253,18253,Y
264717588,2009,200908,WE BEAD CONNECTED,MONTROSE,CO,81403-8625,03,15,Q33,0,0,0,Y
264720338,2010,201003,FUTURE HOPE FOUNDATION,CASTLE ROCK,CO,80104-9654,03,15,B82,1996,8000,8000,Y
264723017,2009,200911,ROSELAND VILLAGE INC NFP,DENVER,CO,80202-4929,03,15,L21,2478351,174564,174564,Y
264729772,2011,201101,HOPE SHINES INC,DENVER,CO,80205-2764,03,15,Q30,29981,61361,61361,Y
264730656,2015,201502,DURANGO FRIENDS OF THE ARTS,DURANGO,CO,81302-1281,03,15,A12,0,0,0,Y
264746461,2009,200908,AUDIENCE OF ONE YOUTH THEATER,LITTLETON,CO,80163-1340,03,15,A65,336685,477235,477235,Y
264747328,2010,201003,EAGLE CHAMBER OF COMMERCE,EAGLE,CO,81631-0964,04,00,S20,100635,172212,157672,Y
264753602,2009,200907,YAMPA VALLEY SUSTAINABILITY COUNCIL,STEAMBOAT SPR,CO,80477-0705,03,16,C35,722048,1385656,1385656,Y
264755254,,,,,,,,,,,,,N
264764161,2009,200907,COLORADO ATHLETIC DIRECTORS ASSOCIATION,BROOMFIELD,CO,80023-3933,03,15,B03,160257,178640,178640,Y
264770412,2014,201409,INSTITUTE OF BIOENERGETIC MEDICINE,CENTENNIAL,CO,80112-1281,03,11,B99,1611,275117,264837,Y
264773113,2010,201010,ACTS RESOURCE CENTER INC,THORNTON,CO,80241-3044,03,15,P20,0,0,0,Y
264785696,,,,,,,,,,,,,N
264792126,2011,201108,ADAMS PLACE,CENTENNIAL,CO,80122-3282,03,15,F30,6496,1930,1840,Y
264794988,2010,201004,MOUNTAIN VIEW MUSIC AND ARTS,LOVELAND,CO,80539-0531,03,15,B11,0,0,0,Y
264795262,,,,,,,,,,,,,N
264806197,2010,201002,THE ART GARAGE,DENVER,CO,80207-3431,03,16,A20,246679,1026500,935841,Y
264810482,2011,201101,NEIGHBORHOOD DEVELOPMENT COLLABORATIVE INC,DENVER,CO,80203-0000,03,15,L21,260627,560797,560797,Y
264821241,2009,200911,GLOBAL PEACE TRAIN,LONGMONT,CO,80501-5550,03,15,Q33,109528,163218,163218,Y
264834964,,,,,,,,,,,,,N
266070307,2009,200908,THE TELIOS CHARITABLE TRUST,COLORADO SPGS,CO,80920-3949,03,17,T30,0,0,0,Y
266698110,2010,201004,THE BEARDED COLLIE CLUB OF AMERICA CHARITABLE TRUST,ELIZABETH,CO,80107-7854,03,16,,2311421,317264,317264,Y
270007315,2002,200205,RIVERSEDGE WEST,GRAND JUNCTION,CO,81501-0000,03,15,C34,1213871,1710799,1710799,Y
270014466,2003,200302,CHILDRENS GARDEN OF LEARNING,VAIL,CO,81657-5983,03,16,P33,597973,1176773,1176773,Y
270025008,,,,,,,,,,,,,N
270028078,2005,200501,GENESIS PROJECT OF NORTHERN COLORADO,GREELEY,CO,80631-4636,03,15,P20,1371413,370165,334698,Y
270029283,2003,200302,RAY OF HOPE CANCER FOUNDATION,DENVER,CO,80222-3309,03,15,P74,2439440,1054340,923124,Y
270035830,2004,200404,MONTROSE MEDICAL MISSION INC,MONTROSE,CO,81401-4212,03,15,X99,140206,30400,30400,Y
270035894,2003,200308,CONSCIOUS ALLIANCE,BROOMFIELD,CO,80020-1661,03,15,K30,4307817,30798799,30798799,Y
270036386,,,,,,,,,,,,,N
270042254,2004,200402,POLARIS PTO INC,DENVER,CO,80205-3113,03,16,B94,312415,291566,284814,Y
270061754,,,,,,,,,,,,,N
270095610,2005,200511,BOULDER GREEN BUILDING GUILD,BOULDER,CO,80304-2437,06,00,S41,0,0,0,Y
270115197,2005,200509,HUMANITIES INSTITUTE,COLORADO SPGS,CO,80920-5127,03,15,B99,3791320,134852,134852,Y
270124599,2006,200605,SKYLINE FALCON BASEBALL,LONGMONT,CO,80501-5543,03,15,N63,147,6567,-3416,Y
270131388,2007,200702,OPTOMETRY GIVING SIGHT,GOLDEN,CO,80401-5886,03,15,T12,2322569,964897,962494,Y
270168821,2011,201109,THE VEGETABLE CONNECTION INC,FORT COLLINS,CO,80522-0812,03,15,K30,30062,95898,93580,Y
270170494,2014,201409,SUE DINAPOLI OVARIAN CANCER FOUNDATION,COLORADO SPRINGS,CO,80903-3308,03,15,G30,27640,186619,186619,Y
270175296,,,,,,,,,,,,,N
270175588,2015,201503,FIREHOUSE YOUTH CENTER INC,BENNETT,CO,80102-9008,03,15,J22,0,0,0,Y
270199484,2013,201305,ROCKY MOUNTAIN BRAINSPOTTING INSTITUTE,BOULDER,CO,80302-5862,03,15,F05,148060,43010,42589,Y
270205800,,,,,,,,,,,,,N
270206072,,,,,,,,,,,,,N
270213070,2009,200909,COLORADO POLICY INSTITUTE,CASTLE ROCK,CO,80104-2053,04,00,R99,425,68000,68000,Y
270217794,,,,,,,,,,,,,N
270219518,,,,,,,,,,,,,N
270229223,2005,200510,PARENT BOOSTER USA INC,EVERGREEN,CO,80437-1054,03,16,B112,47248,86947,86088,Y
270231514,2011,201111,SCIENCE OF MIND FOUNDATION INC,LAKEWOOD,CO,80214-0000,03,21,X12,6288442,415517,415517,Y
270235336,2010,201005,COLORADO FRONT RANGE TRES DIAS,LOVELAND,CO,80538-7174,03,15,X20,62287,64431,64431,Y
270235851,2009,200911,HELP OUR WORLD ONE ON ONE,AURORA,CO,80018-6104,03,15,T12,249044,428817,428817,Y
270247663,2011,201106,A NEW DIMENSION OF HOPE,AURORA,CO,80014-3512,03,15,Q33,118348,150725,130725,Y
270254638,,,,,,,,,,,,,N
270273998,2011,201102,FLAGSHIP,DENVER,CO,80239-4267,03,15,J20,,,,Y
270274337,2010,201010,SOUTH ADAMS COUNTY VOLUNTEER FIRE DEPARTMENT,COMMERCE CITY,CO,80022-2347,03,15,M24,333903,50044,35629,Y
270305094,,,,,,,,,,,,,N
270306919,,,,,,,,,,,,,N
270307919,,,,,,,,,,,,,N
270318372,,,,,,,,,,,,,N
270320716,,,,,,,,,,,,,N
270325278,2012,201204,EASTERN EUROPEAN STUDY ABROAD,GYPSUM,CO,81637-0206,03,16,Q22,0,0,0,Y
270325446,2011,201102,COLORADO FINE ARTS ASSOCIATION,BROOMFIELD,CO,80023-4551,03,15,A68,389275,126798,126798,Y
270342290,2010,201001,GLOWMUNDO CREATIONS,LITTLETON,CO,80125-9131,03,15,B90,75453,287448,287448,Y
270347646,2010,201006,GRANBY PLAY DAYS PRESCHOOL,GRANBY,CO,80446-0712,03,11,B21,56697,215028,215028,Y
270348011,2014,201402,SOCIETY FOR PEDIATRIC INTERVENTIONAL RADIOLOGY,GREENWOOD VILLAGE,CO,80111-4221,06,00,S46,395032,295763,295763,Y
270348575,2009,200911,FORGOTTEN FELINES RESCUE,AURORA,CO,80014-3138,03,15,D20,236087,125951,125951,Y
270377085,,,,,,,,,,,,,N
270388096,2009,200911,MORE THAN MUSIC INC,LITTLETON,CO,80163-0612,03,15,A68,24382,350592,306660,Y
270390424,,,,,,,,,,,,,N
270410642,,,,,,,,,,,,,N
270421077,,,,,,,,,,,,,N
270425770,,,,,,,,,,,,,N
270435998,2009,200909,WORLD BRAIN FORUM FOUNDATION,ASPEN,CO,81612-8290,03,16,G48,649017,14502,14502,Y
270436257,2011,201105,CCV ROTARY CLUB OF PARKER FOUNDATION,PARKER,CO,80134-7440,03,16,B90,219990,111307,111307,Y
270442654,,,,,,,,,,,,,N
270450305,2010,201002,JAMES L QUINT FOUNDATION,THORNTON,CO,80241-1949,03,16,E86,53499,98846,70920,Y
270455707,2009,200909,SCHOOL FOR THE PERFORMING ARTS,FORT MORGAN,CO,80701-3918,03,16,A61,0,0,0,Y
270456844,,,,,,,,,,,,,N
270460368,2009,200908,COLORADO PROCUREMENT TECHNICAL ASSISTANCE CENTER,COLORADO SPRINGS,CO,80903-3651,03,15,S194,216942,1017283,1017283,Y
270465147,,,,,,,,,,,,,N
270470346,2010,201008,ST LUKES MEDICAL FOUNDATION,FORT COLLINS,CO,80525-0000,03,15,E128,8084,15273,15273,Y
270483016,2011,201103,THE BUTTERFLY FOUNDATION,ENGLEWOOD,CO,80112-3905,03,15,T99,486492,240382,94149,Y
270490843,2010,201012,WORLD LEADERSHIP FOUNDATION INC,BOULDER,CO,80302-8770,03,15,B12,154273,150358,150358,Y
270494184,,,,,,,,,,,,,N
270500895,2022,202211,FORT MORGAN YOUTH ATHLETICS,FORT MORGAN,CO,80701-9241,03,16,N60,63179,173364,173364,Y
270502822,2010,201007,HEARTHFIRE KEEP INC,BYERS,CO,80103-9427,03,15,P80,27550,60180,60180,Y
270508064,,,,,,,,,,,,,N
270510293,1952,195210,FRATERNAL ORDER OF POLICE,WESTMINSTER,CO,80031-3819,08,00,,79814,134737,134737,Y
270528646,2015,201509,BROADMOOR ELEMENTARY PARENT TEACHER ORGANIZATION,COLORADO SPGS,CO,80906-3755,03,15,B94,0,0,0,Y
270549430,,,,,,,,,,,,,N
270553487,,,,,,,,,,,,,N
270556740,,,,,,,,,,,,,N
270560835,2011,201109,NATIONAL INTERNAL AFFAIRS INVESTIGATORS ASSOCIATION INC,MONTROSE,CO,81402-1774,06,00,S20,262744,262722,262722,Y
270564568,2009,200903,COLORADO ADULT SOCCER ASSOCIATION INC,GOLDEN,CO,80401-9322,03,16,,130335,144988,144988,Y
270591992,,,,,,,,,,,,,N
270601607,,,,,,,,,,,,,N
270615571,2011,201106,DEFY GRAVITY,GUFFEY,CO,80820-9404,03,15,O50,0,0,0,Y
270618507,,,,,,,,,,,,,N
270620801,2011,201101,NEIGHBORHOOD LIVING RESOURCES INC,AURORA,CO,80011-7117,03,12,F113,1176231,240817,240817,Y
270624958,,,,,,,,,,,,,N
270632298,2014,201402,GREATCOM MINISTRIES INTERNATIONAL INC,LARKSPUR,CO,80118-5426,03,15,X21,316250,225950,225950,Y
270638541,,,,,,,,,,,,,N
270642811,2009,200911,COLUMBINE MEMORIAL FOUNDATION,LITTLETON,CO,80162-1636,03,15,T31,229235,84671,84671,Y
270646062,,,,,,,,,,,,,N
270662292,2009,200910,LABORATORY TO COMBAT HUMAN TRAFFICKING,DENVER,CO,80205-2729,03,15,P99,1207919,936596,920022,Y
270681994,2009,200912,JOANN B FICKE CANCER FOUNDATION,ENGLEWOOD,CO,80111-5458,03,15,H12,10122,171853,171853,Y
270688262,,,,,,,,,,,,,N
270688802,,,,,,,,,,,,,N
270693591,,,,,,,,,,,,,N
270710394,2009,200910,PARENT ENGAGEMENT NETWORK,BROOMFIELD,CO,80020-1664,03,15,B122,80015,166452,162951,Y
270714859,,,,,,,,,,,,,N
270736809,,,,,,,,,,,,,N
270742367,,,,,,,,,,,,,N
270750665,2012,201209,DENVER ART SOCIETY,DENVER,CO,80204-4429,03,15,A26,183182,334338,190284,Y
270753559,,,,,,,,,,,,,N
270778775,1946,194603,PRAIRIE ROSE PLAZA,DENVER,CO,80216-4632,03,10,,2450322,211030,211030,Y
270797128,2010,201007,DESERT ECOSYSTEM ANALYSIS RESTORATION,GRAND JCT,CO,81502-1234,03,15,C30,0,0,0,Y
270799310,2013,201303,DENHAC,DENVER,CO,80204-4403,03,15,B99,141294,206269,206269,Y
270803976,2010,201001,COLORADO BLACK HEALTH COLLABORATIVE,AURORA,CO,80014-2925,03,15,E60,556405,891758,891758,Y
270835179,2010,201008,NO GREATER COMMISSION INC,GRAND JCT,CO,81502-4722,03,15,Q30,10200,82580,82580,Y
270837963,2022,202202,PARKER GOLF ASSOCIATION,PARKER,CO,80134-5438,03,16,P50,0,0,0,Y
270843573,2025,202509,DANCEFRICA,COLORADO SPGS,CO,80906-4358,03,16,P20,17458,10000,10000,Y
270853837,,,,,,,,,,,,,N
270855628,2010,201005,CROWLEY FOUNDATION INC,DENVER,CO,80238-3048,03,15,B82,93962,837038,835954,Y
270862227,2010,201003,ROCKY MOUNTAIN MUSTANG ROUNDUP,DENVER,CO,80221-2920,04,00,A84,18116,36660,36660,Y
270866903,2014,201410,MOLINA CENTER INC,CLIFTON,CO,81520-9712,03,15,O50,407867,40831,40831,Y
270868701,2010,201003,CHALLENGE AMERICA,BASALT,CO,81621-4467,03,15,W20,159952,623133,622933,Y
270901658,2010,201004,EFFECTIVESC,GOLDEN,CO,80403-1753,03,15,U41,724901,35,35,Y
270901710,,,,,,,,,,,,,N
270906955,,,,,,,,,,,,,N
270907219,2010,201003,ORGANIC HEALTH RESPONSE INCORPORATED USA,GLENWOOD SPGS,CO,81602-2780,03,15,Q30,93390,56417,56417,Y
270909586,2010,201003,HUG IT FORWARD INC,LITTLETON,CO,80128-5829,03,15,S20,160080,86770,86770,Y
270910019,,,,,,,,,,,,,N
270911048,2009,200909,HUMANE SOCIETY OF THE SOUTH PLATTE VALLEY INC,LITTLETON,CO,80120-1050,03,16,D20,1576304,1389306,1355237,Y
270917628,2010,201008,PANAMERICAN INNOVATION AND ECONOMIC RESEARCH INSTITUTE,LITTLETON,CO,80120-2121,03,15,Q19,0,0,0,Y
270924053,2010,201008,KINGDOM BUILDING LEADERSHIP MINISTRIES,MONUMENT,CO,80132-0000,03,15,X20,0,0,0,Y
270926740,2010,201001,POLICE FOUNDATION OF COLORADO SPRINGS,COLORADO SPGS,CO,80906-4201,03,15,T20,226959,224284,224284,Y
270928046,,,,,,,,,,,,,N
270930004,2012,201207,CATHOLIC HEALTH INITIATIVES NATIONAL FOUNDATION,COLORADO SPGS,CO,80920-3997,03,21,E11,812725,92092,92092,Y
270934173,2014,201404,LITTLETON IMMIGRANT INTEGRATION INITIATIVE - LI3,LITTLETON,CO,80160-0401,03,15,P21,0,0,0,Y
270935752,,,,,,,,,,,,,N
270935863,,,,,,,,,,,,,N
270947724,2010,201007,GROUNDWORKS ART LAB INC,BOULDER,CO,80302-7212,03,15,A40,12728955,2509746,2500081,Y
270959882,,,,,,,,,,,,,N
270962251,2010,201012,PALM ARTS,TELLURIDE,CO,81435-9145,03,16,B11,1114718,413067,402787,Y
270977078,2010,201004,ROAD TO HOPE OF HAITI,DENVER,CO,80205-2729,03,15,Q33,135446,301276,301276,Y
270980593,,,,,,,,,,,,,N
270987719,2010,201007,THE EXCHANGE,PARKER,CO,80134-5738,03,15,X99,350493,279475,252691,Y
270990436,,,,,,,,,,,,,N
270993491,,,,,,,,,,,,,N
270993685,2010,201006,TORN CURTAIN ARTS,LAKEWOOD,CO,80214-2121,03,15,A60,22665,73984,73984,Y
270999263,,,,,,,,,,,,,N
270999423,2010,201003,KIDS PASTA PROJECT,PAONIA,CO,81428-8117,03,15,T123,0,0,0,Y
271008209,,,,,,,,,,,,,N
271018895,2010,201002,KIDPOWER OF COLORADO INC,COLORADO SPGS,CO,80904-3751,03,15,I72,655694,432641,383607,Y
271019021,,,,,,,,,,,,,N
271019803,2010,201010,COLORADO NATIONAL GOLF FOUNDATION,BOULDER,CO,80309-5003,03,15,N6A,895582,38300,38300,Y
271024142,,,,,,,,,,,,,N
271028811,2010,201005,COLORADO CELEBRATION OF AFRICAN-AMERICAN ARTS AND CULTURE,DENVER,CO,80203-0577,03,16,A20,273141,312233,312233,Y
271035215,2025,202508,INSPIRING MINDS,LAKEWOOD,CO,80228-5503,07,00,N31,,,,Y
271044542,2010,201002,GYPSUM CHAMBER OF COMMERCE INC,GYPSUM,CO,81637-1898,06,00,S41,0,0,0,Y
271048838,2010,201010,MOONRISE RIDGE RANCH WESTERN PRESERVATION PROJECT,ELBERT,CO,80106-9646,03,15,N69,1,0,0,Y
271050962,2010,201006,DENVER TRITON SWIM TEAM,SALIDA,CO,81201-0833,03,16,N67,2921,155990,155990,Y
271055654,2010,201001,GREEN MOUNTAIN HIGH SCHOOL BAND BOOSTERS,LAKEWOOD,CO,80226-0101,03,15,B112,125163,304040,62530,Y
271058430,2010,201008,5430 KIDS TENNIS FOUNDATION,BOULDER,CO,80302-0000,03,16,N66,35462,27352,27352,Y
271059850,2010,201005,JOVIAL CONCEPTS,MORRISON,CO,80465-1219,03,15,I51,1273075,556684,548350,Y
271060803,2010,201004,PARK HILL PARENTS DAY OUT,DENVER,CO,80220-1057,03,15,B99,73937,173640,171650,Y
271061203,2010,201004,NEW UTE THEATRE SOCIETY INC,RIFLE,CO,81650-0084,03,16,A82,68040,65893,42129,Y
271071549,2010,201002,PSYCHOLOGICAL SOCIETY OF THE PIKES PEAK REGION,COLORADO SPGS,CO,80901-0594,03,15,B60,0,0,0,Y
271078269,2022,202203,VALDEZ PARENT TEACHER ORGANIZATION,DENVER,CO,80211-3711,03,16,B94,49795,100187,75650,Y
271082760,2010,201004,COMMERCIAL BROKERS OF COLORADO,DENVER,CO,80202-1376,06,00,S41,75230,115557,115557,Y
271083135,2010,201004,FAMILIES OF CHARACTER,AURORA,CO,80016-1557,03,15,P40,62828,253012,253012,Y
271086557,2010,201003,TESTICULAR CANCER AWARENESS FOUNDATION,GRAND JUNCTION,CO,81501-7540,03,15,G30,187456,370173,370173,Y
271101118,,,,,,,,,,,,,N
271125802,,,,,,,,,,,,,N
271129085,2010,201001,THUNDER BASEBALL LEAGUE INC,WESTMINSTER,CO,80031-1903,03,16,B90,659168,929354,929354,Y
271133755,2010,201007,TATTERED TAILS INC,COLORADO SPGS,CO,80909-1735,03,15,D20,171375,155949,155949,Y
271135539,2010,201004,ROCKY MOUNTAIN CHILDRENS FOUNDATION,DENVER,CO,80201-1798,03,15,,4898,188580,76909,Y
271137250,,,,,,,,,,,,,N
271141228,2011,201103,COLORADO DANCE COLLECTIVE ADULT REPERTOIRE COMPANY,GREELEY,CO,80633-0617,03,15,A62,44725,69269,67203,Y
271144794,2014,201402,J MESSAGE GROUP CORP,LAFAYETTE,CO,80026-8016,03,15,T31,266369,44666,44666,Y
271153328,2023,202303,WOMEN WORK TOGETHER,BOULDER,CO,80304-2107,03,15,Q30,19227,98150,98150,Y
271157593,2009,200912,RIO GRANDE WATERSHED CONSERVATION & EDUCATION INITIATIVE,ALAMOSA,CO,81101-2903,03,15,C30,76575,146368,146368,Y
271162614,2014,201408,KERSEY DAY COMMITTEE,KERSEY,CO,80644-0657,03,16,B99,15548,31982,31982,Y
271165867,,,,,,,,,,,,,N
271168554,,,,,,,,,,,,,N
271170242,2014,201408,INTERLEUKIN FOUNDATION,DENVER,CO,80220-1548,03,15,H12,138891,267481,267481,Y
271184549,2010,201010,WILD BLUE CATS,COLORADO SPGS,CO,80908-3938,03,16,D30,452521,525278,517155,Y
271185887,,,,,,,,,,,,,N
271188867,,,,,,,,,,,,,N
271191891,2010,201002,PARTNERS FOR WESTERN CONSERVATION,DENVER,CO,80239-2402,03,16,C30,334989,0,0,Y
271192636,2010,201003,COLORADO ANIMAL WELFARE LEAGUE,CASTLE ROCK,CO,80104-1913,03,15,D20,73057,108435,108435,Y
271194470,2012,201210,MOUNTAIN LIFE CHURCH INC,CRIPPLE CREEK,CO,80813-9691,03,10,X21,125216,53835,53835,Y
271204114,2011,201103,MIRACLE LETTER PROGRAM,STERLING,CO,80751-0622,03,15,P60,210034,226765,226765,Y
271209263,,,,,,,,,,,,,N
271211132,,,,,,,,,,,,,N
271212858,2019,201907,COLORADO ASSISTED LIVING ASSOCIATION,DENVER,CO,80222-3009,06,00,W03,48942,94046,94046,Y
271218479,,,,,,,,,,,,,N
271222882,1988,198804,AMERICAN VAULTING ASSOCIATION,LOVELAND,CO,80537-9428,03,15,,0,0,0,Y
271223857,,,,,,,,,,,,,N
271254855,2017,201708,INDEPENDENT EVENT PRODUCERS INC,COLORADO SPGS,CO,80919-1731,06,00,S40,25977,86638,86638,Y
271258258,2010,201004,HIS LITTLE FEET,WINDSOR,CO,80550-7914,03,15,P31,2658405,1222067,1222067,Y
271272662,2010,201002,MILE HIGH WRESTLING CLUB INC,BROOMFIELD,CO,80023-4092,03,15,N60,11529,185087,185087,Y
271276653,2010,201003,HISPANIC AFFAIRS PROJECT,MONTROSE,CO,81401-3705,03,15,P80,2625395,713603,708366,Y
271280955,2010,201002,ROCKY MOUNTAIN VICTIM LAW CENTER,LAKEWOOD,CO,80215-5553,03,15,I80,590366,1366994,1329487,Y
271295368,2012,201202,NETWORK BEYOND,GREELEY,CO,80633-0628,03,15,I21,410833,884244,884244,Y
271297346,2010,201005,DENVER BIENNIAL OF THE AMERICAS CORPORATION,DENVER,CO,80202-6299,03,16,B99,209641,1133216,1133216,Y
271299973,,,,,,,,,,,,,N
271300262,,,,,,,,,,,,,N
271309152,2010,201005,LIAMS LIGHTHOUSE FOUNDATION,COLORADO SPGS,CO,80922-2226,03,15,G199,390679,141003,113374,Y
271317638,2010,201004,CHELSEA HUTCHISON FOUNDATION,LITTLETON,CO,80163-0048,03,15,G54,68915,730626,412334,Y
271325457,2010,201008,YOUTHROOTS,DENVER,CO,80231-2163,03,15,B90,539029,841424,841424,Y
271332464,2011,201102,ONE COLORADO,DENVER,CO,80203-1289,04,00,P20,211216,151796,125298,Y
271333378,2010,201003,ONE COLORADO EDUCATION FUND,DENVER,CO,80203-1289,03,15,R26,1241721,1739744,1624438,Y
271334147,2012,201204,PAPUA NEW GUINEA TRIBAL FOUNDATION,MONTROSE,CO,81401-3649,03,15,Q33,66833,452044,452044,Y
271336884,2016,201601,MAZATLAN MISSIONS,MANITOU SPGS,CO,80829-2625,03,16,X20,28723,304508,304508,Y
271345034,2010,201004,PROJECT ONE FORTY THREE INC,HGHLNDS RANCH,CO,80126-4519,03,15,T50,568422,125790,125790,Y
271349316,2020,202004,CAMPAIGN CONSTITUTION,COLORADO SPRINGS,CO,80906-3704,03,15,W24,5830,10031,10031,Y
271350207,2011,201103,AL MUSTAFA ISLAMIC CENTER,AURORA,CO,80011-4429,03,10,X40,1,0,0,Y
271353203,,,,,,,,,,,,,N
271363602,2010,201012,CITYUNITE,WESTMINSTER,CO,80021-4097,03,15,X20,156801,313047,299157,Y
271369289,2010,201005,COLORADO MODEL RAILROAD MUSEUM,GREELEY,CO,80631-4116,03,15,A54,1191121,455352,405166,Y
271380459,,,,,,,,,,,,,N
271387083,2010,201007,ISLA ANIMALS,BOULDER,CO,80301-1024,03,15,D20,312216,230078,230078,Y
271388008,,,,,,,,,,,,,N
271388543,,,,,,,,,,,,,N
271395489,2010,201004,IPODERACS CHILDREN FUND,DENVER,CO,80237-0571,03,15,T12,119571,157611,157611,Y
271422478,,,,,,,,,,,,,N
271433368,2011,201102,HIGH POINT ACADEMY BUILDING CORPORATION,AURORA,CO,80019-2107,03,24,B112,8058272,686998,686998,Y
271437205,2011,201102,BLACK CANYON ANIMAL SANCTUARY,CRAWFORD,CO,81415-8100,03,15,D20,17628,44452,44452,Y
271442622,,,,,,,,,,,,,N
271444129,,,,,,,,,,,,,N
